car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
NTL,39437.1163,38289.5513,SURFACE CAR PARK,ELECTRONIC PARKING
NT10,40461.228,38578.6537,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
NT11,40340.3893,38418.7633,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
NT12,39145.7911,39063.0552,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
NT13,39215.9628,38841.7874,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
NT5,39861.432,38191.3771,COVERED CAR PARK,ELECTRONIC PARKING
NT8,39893.7093,38667.9402,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
NT9,40335.8086,38749.5219,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDC4,17475.2563,39985.5474,BASEMENT CAR PARK,ELECTRONIC PARKING
PDC5,17989.9222,41499.0296,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDJ3,15435.0187,35211.8516,BASEMENT CAR PARK,ELECTRONIC PARKING
PDJ7,12930.5286,36787.2543,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDL1,36861.9823,41783.2542,BASEMENT CAR PARK,ELECTRONIC PARKING
PDL2,36878.2862,42747.5714,BASEMENT CAR PARK,ELECTRONIC PARKING
PDP4,21106.05,40635.5878,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDP5,20516.3308,40817.8945,SURFACE CAR PARK,ELECTRONIC PARKING
PDQ5,25514.1791,30563.4425,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDR2,42604.5156,38773.6442,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDR6,40065.8952,39988.2066,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDR7,39453.4352,40190.3477,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDS1,35624.873,40823.859,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDT8,39261.5396,37495.72,BASEMENT CAR PARK,ELECTRONIC PARKING
PDW5,23640.69,45832.6288,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDW7,24076.3392,47457.4236,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PDW8,23752.5835,46647.3671,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PD8W,23295.7544,47198.0451,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PLB1,41971.3984,39012.3008,SURFACE CAR PARK,COUPON PARKING
PL19,36545.1733,42395.6863,BASEMENT CAR PARK,ELECTRONIC PARKING
PL24,36348.4338,42380.9942,BASEMENT CAR PARK,ELECTRONIC PARKING
PL29,36897.0646,42490.1374,BASEMENT CAR PARK,ELECTRONIC PARKING
PL30,36989.2194,41806.2447,BASEMENT CAR PARK,ELECTRONIC PARKING
PL31,36110.4866,42837.2882,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL32,35933.3863,42966.5081,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL33,36521.4363,42569.3563,SURFACE CAR PARK,ELECTRONIC PARKING
PL36,36113.2644,43096.1637,COVERED CAR PARK,ELECTRONIC PARKING
PL39,35192.9049,42872.8244,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL40,35326.1743,42841.9622,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL41,35636.9282,42723.6586,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL42,36722.4823,42665.6779,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL43,35765.2615,42620.0879,COVERED CAR PARK,ELECTRONIC PARKING
PL44,35568.6186,42304.0762,SURFACE CAR PARK,ELECTRONIC PARKING
PL45,37034.4487,41726.1275,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL46,36714.9868,42459.2349,COVERED CAR PARK,ELECTRONIC PARKING
PL47,35522.7156,42499.8392,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL48,35463.4411,42762.8004,COVERED CAR PARK,ELECTRONIC PARKING
PL49,35463.2889,42357.9568,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL50,35358.2193,42587.4444,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL53,35217.6575,43016.4003,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
PL55,35069.2354,43028.1349,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
